k, get_knn_function, get_label_function, pca_parameters, accuracy, macro_precision, macro_recall, macro_F1, execution_time, d
3, get_knn_m_dist, get_label_by_knn, 128, 0.901691331924, 0.907525064265, 0.901035348751, 0.90426856288, 14.382950067520142, 128
3, get_knn_m_dist, get_label_by_knn, 256, 0.760042283298, 0.824503420402, 0.758425330332, 0.790085186953, 31.954378128051758, 256
3, get_knn_m_dist, get_label_by_wknn, 0, 0.497885835095, 0.555471816892, 0.500708296171, 0.526670297172, 113.73031401634216, 1024
3, get_knn_m_dist, get_label_by_wknn, 4, 0.811839323467, 0.815291382552, 0.814872618739, 0.815081946859, 8.42511796951294, 4
3, get_knn_m_dist, get_label_by_wknn, 8, 0.954545454545, 0.955245380573, 0.953346502273, 0.954294996816, 8.259879112243652, 8
3, get_knn_m_dist, get_label_by_wknn, 16, 0.974630021142, 0.975117822886, 0.973619146564, 0.974367908446, 8.55014419555664, 16
3, get_knn_m_dist, get_label_by_wknn, 32, 0.971458773784, 0.971146133205, 0.971585489819, 0.971365761831, 9.170880317687988, 32
3, get_knn_m_dist, get_label_by_wknn, 64, 0.953488372093, 0.952293759322, 0.953233784079, 0.952763539837, 10.302357196807861, 64
3, get_knn_m_dist, get_label_by_wknn, 128, 0.899577167019, 0.901441871226, 0.898238474237, 0.899837321739, 14.001986980438232, 128
3, get_knn_m_dist, get_label_by_wknn, 256, 0.774841437632, 0.828435596854, 0.771661711597, 0.799041442342, 23.996206521987915, 256
5, get_knn_e_dist, get_label_by_knn, 0, 0.979915433404, 0.979662851944, 0.979675569415, 0.979669210638, 7.296722412109375, 1024
5, get_knn_e_dist, get_label_by_knn, 4, 0.845665961945, 0.84883675222, 0.848708613573, 0.84877267806, 0.6245341300964355, 4
5, get_knn_e_dist, get_label_by_knn, 8, 0.95665961945, 0.958691246805, 0.955959145678, 0.957323246962, 0.6399734020233154, 8
5, get_knn_e_dist, get_label_by_knn, 16, 0.977801268499, 0.977402370255, 0.977336322293, 0.977369345158, 0.6886391639709473, 16
5, get_knn_e_dist, get_label_by_knn, 32, 0.983086680761, 0.982500137637, 0.983240653568, 0.982870256122, 0.752631664276123, 32
5, get_knn_e_dist, get_label_by_knn, 64, 0.984143763214, 0.983709582371, 0.983845323555, 0.98377744828, 0.7933957576751709, 64
5, get_knn_e_dist, get_label_by_knn, 128, 0.984143763214, 0.983740693711, 0.984095868217, 0.983918248911, 0.9791429042816162, 128
